Name,RA (1950),Dec m_zw,v_h,sig sour,Type,D1,D1,BT,UGC,FLWO#,Notes and Other Names
N 984,23154,23120014.5,4403,2512700,5,3,2,,2059,T03735,"11182(0505),VZw257"
I 238,23236,12360014.1,6008,2112700,-2,1.8,1.2,,2070,T01975,
02334+2512,23322.7,25122714,710,1010200,5,6.3,1.1,,2082,T03736,
N 990,23336,11260013.9,3508,2112700,-7,1.8,1.5,,2089,T00764,
N 992,23436,20530013.5,4150,510620,0B P,0.9,0.7,,2103,T03709,AK88
N1004,23500,1450014.3,6480,2212700,-7,1.8,1.8,,2112,T02060,
I 241,23518,2070014.5,6931,2212700,-3,1.2,0.8,,2115,T02107,
N1037,23524,-2040014.5,8663,3112700,3B,2.1,0.8,14.2,2119,T02051,
N1015,23536,-1320013.5,2631,2010200,1B,3.3,3.3,,2124,T00784,
N1016,23542,1550013.3,6585,1712700,-7,2.5,2.5,12.43,2128,S02108,*
N1024,23630,10380013.8,3535,510620,2A R,4.8,1.7,,2142,T00729,Arp333
N1026,23642,6200014.1,4179,2212700,-2,2,1.8,,2145,T01968,
N1032,23648,530013.2,2694,1812700,1A,3.8,1.3,,2147,T10221,
N1029,23654,10350014.1,3635,1812712,0,1.6,0.5,,2149,S03763,
I1827,23706,1200014.5,5904,2612700,1A,1.2,0.22,,2152,T02052,
N1030,23706,17490014.5,8616,4112700,1P,1.7,0.7,,2153,T03553,
N1038,23730,1180014.4,6062,2812700,1A,1.3,0.4,,2158,T26807,
N1036,23742,19050013.5,788,510620,9,1.6,1.1,,2160,,"MK370,I1828"
I 248,23836,17350014.4,9022,4512700,1,1.1,0.8,,2170,T03554,
N1055,23912,140012.5,1002,1010200,3B4,8,3.5,11.4,2173,,
N1068,24007.1,-001331 9.7,1153,1612700,3A T,9,8,9.51,2188,T03854,"Sy2,M77,Arp37,3CR71"
N1070,24042,4460013,4088,510620,3A,2.8,2.5,,2200,T00785,
N1072,24100,50014.3,8021,2312700,2A,1.5,0.5,,2208,T01993,
N1073,24106,1100012.5,1212,810200,5B3T,5.5,5.5,11.55,2210,T09266,
I1843,24248,2400014.2,6793,3112700,1B,1.7,0.9,,2228,T01994,
N1085,24348,3240013.6,6788,510620,3A,2.5,1.8,,2241,T15919,
N1087,24354,-420011.4,1503,1010402,5X5T,4,3,11.55,2245,T09485,
N1090,24400,-270011.8,9 2765,1000200,4B7T,4.3,2.1,12.6,2247,T15640,
02444+0826,24424,8260014.3,7618,3812700,0,0.9,0.4,,2255,T01967,
N1094,24453.9,-293713.5,6341,2912700,2X s,1.3,1,,02262A,T15641,
N1095,24500,4260014.2,6364,3212700,5B,1.4,0.9,,2264,T02001,
I1856,24618,-580014.5,6486,3012700,3B,1.1,0.6,,2291,T00863,
02464+0258,24624,2580014,4172,510620,5,1.6,0.8,,2295,T00787,
02464+1807,24624,18070013.1,10010,10011901,-6,0.9,0.9,,2296,,S*
02466+1727,24636,17270014.5,6457,3112700,3A,1.3,1.3,,2303,T03764,
N1107,24642,7540014.1,3424,2812700,-2,1.8,1.5,,2307,T00937,
02469-0105,24654,-1050013.9,7158,3212700,3B,1.5,1.5,,2311,T00862,
N1121,24812,-1560013.7,2597,2012700,1,1.1,0.4,,2332,T00786,
N1132,25018,-1280013.9,6953,1712700,-7,2,1.3,,2359,S02460,
N1134,25054,12480013.2,3604,1612700,2P,2.5,0.9,,2365,S10209,Arp200
I 267,25106,12380014.1,3577,2112700,3B,2.1,1.4,,2368,S10208,
N1137,25124,2450013.5,3042,510620,3A,2.5,1.5,,2374,T00748,
N1143,25236,-224814.2,8465,31H2700,-2  P,1.4,1.2,14.5,2388,T00766,"*RING,Arp118,VV331,KDG83A"
N1144,25238.4,-231213.6,8641,32H2707,10P,1.4,1.2,14.2,2389,T00767,"Sy2,RING,Arp118,VV331,MK"
I 273,25430,2350014.4,3213,3012700,0B,1.8,0.7,,2425,T00832,
N1153,25530,3100013.5,3126,2212700,-5,1.4,1.4,,2439,T00765,
02560+0314,25600,3140014.4,3104,3212700,15,0.5,0.3,,2446,T26805,
I 277,25712,2340013.8,2848,510620,4B T,1.7,1.7,,2460,T03683,MK602
02599+0200,25958.4,2000014,5181,1810620,10,1.4,0.6,,2501,T00747,MK1068
N1211,30418,-590013.5,3208,2212700,0B,2.9,2.4,,2545,T00736,
N1218,30548,3550014,8647,3412700,0,1.2,1,13.95,2555,T03684,3CR78
N1219,30554,1570013.5,6101,2712700,5A,1.1,1.1,,2556,T02170,
03092-0035,30912,-350014.4,6847,3512700,3B,1.8,1.4,,2585,T00768,
03102-0030,31012,-300014.5,6826,2112700,0B,1,0.9,,2594,S02171,
I 302,31013.9,4310614,5905,1510400,4B T,2.2,2,,2595,T15673,
03151-0200,31506,-2000014.5,8264,5512700,-2,1.1,1.1,,2649,T00485,
N1280,31524,-200013.9,6870,4812700,3A,1.1,1,,2652,T00564,
N1289,31618,-2090013.8,2836,2612700,-3,2,1.5,,2666,T00484,
N1298,31742,-2170014.2,6502,421-1,-7,1.2,1.1,,2683,T26806,
03184-0032,31824,-320014.1,6285,1912700,5A,1.4,1.3,,2692,S01976,
03202-0205,32012,-2050014.3,8227,2712700,5,1,1,,2704,T00749,
N1507,40154,-2200013.1,864,1010200,9B s,3.6,1.1,12.7,2947,,"MK1080,KDG97A"
N1517,40630,8310014.3,3483,1010909,5,1.2,1.1,,2970,T09166,
N1550,41700,2180014,3689,3412700,-7,1.7,1.7,,3012,T03595,
N1552,41742,-480014.4,4924,4412700,-2,2,1.5,,3015,T03640,
N1587,42805,331813.3,3667,2312700,-5,1.8,1.7,12.46,3063,T02716,"IIZw12N,KDG99A"
N1586,42806,-250014.3,3535,4012700,3A,2.1,1,,3062,T03623,
N1588,42812,330014.1,3478,3012732,,1.5,0.8,13.85,3064,T07983,"MK616,IIZw12S,KDG99B"
N1589,42812,450013.8,3795,2712700,3,3.4,1.1,,3065,T03606,
04345-0225,43430,-2250014.5,8862,3412700,-2,1.4,0.9,,3105,T04226,
N2684,85123.9,49210313.4,3070,1213509,4  s,0.9,0.8,,4662,T02250,
08531+5218,85306,52180013.6,4032,2212712,1,1.6,1.4,,4671,,KDG179A
N2692,85322.2,52153314.1,3780,3012712,1,1.4,0.4,,4675,,"4032(0631),KDG179B"
N2693,85324,51321813.4,2 4865,24 2700,-5  P,1.8,1.4,12.7,4674,T02604,*
N2704,85334.7,39343314.4,7116,2010631,3B,1.1,1.1,,4678,T00838,I2424
08544+4318,85424,43180014.5,9197,4512700,5,0.8,0.45,,4686,T00839,
N2701,85524,53580012.7,1 2250,3302700,5X3T,2,1.3,12.8,4695,T08005,
N2710,85600,55530013.8,2538,1510909,3B,2.2,1.1,,4705,,
N2712,85609.7,45063312.9,3 1815,5 1207,3B1R,3.5,1.7,12.7,04708 3,7.3T05859,
08562+4608,85612,46080014.5,8393,3312700,5,0.55,0.45,,4709,T00822,
08567+5242,85644.8,52411813.7,9033,2010631,3,1.9,1.3,,4713,,
N2719A,85707,35550013.7,3085,3512712,10P,0.45,0.35,,04718B,,"Arp202B,HO105B,KDG181B"
N2719,85707,35553013.7,3178,3412712,3P,1.4,0.3,,04718A,T04509,"Arp202A,HO105A,KDG181A"
09010+5150,90100,51490013.6,4744,4112700,-2,0.7,0.7,13.85,4749,T02624,MK101
I2430,90130,28090014.4,2980,3112700,1,1.1,0.6,,4755,T00752,
09025+4723,90230,47230014.5,8128,2612700,12P,1.1,1,,4765,T00837,7778(3509)
09026+3632,90237.2,36331814,7233,2612700,-2,1.3,1.1,,4767,T05904,
N2746,90253,35344214.4,7025,2612700,2B3r,1.8,1.7,,4770,T00985,
09036+5055,90336,50550014.2,11293,2712700,3A,0.9,0.9,,4778,T00819,
I2434,90406,37240014.5,7158,2912700,3B3P,1.9,0.6,,4785,T00773,
09045+3328,90430,33280014.3,553,1510200,8B7/,2.3,0.5,,4787,,
N2755,90442,41550014.2,7547,3112700,5,1.2,0.8,,4789,T00987,
N2759,90524,37490014.2,6964,2712700,-2X,1,0.7,,4795,T00939,
N2756,90524,54030013.2,3922,3412700,3A,1.7,1.1,,4796,T08043,
09064+5446,90627.9,54470214.5,3956,2010902,5A,1.1,1,,4807,,
N2770,90630,33200012.1,1953,1510200,5X3t,3.6,1.1,,4806,,HO111A
09067+5015,90642,50150014.4,10328,3012700,6,1.3,0.6,,4812,,
N2767,90642,50370014.4,4944,3012700,-5,0.6,0.5,,4813,T01120,
N2769,90700,50390013.8,4854,2712700,1,2,0.5,,4816,T02680,KDG190A
N2771,90706,50360014,5101,2512700,1B,2,1.8,,4817,T02681,KDG190B
N2768,90745.1,60143111.4,8 1363,21 2700,-5,6.5,3,10.9,4821,T02654,*Liner
09080+5128,90804,51273614.5,2185,2010902,5A,2.5,0.6,,4824,,
09084+4651,90818,46510014.3,4257,3112700,-6,0.8,0.7,,4829,T00821,MK102
N2776,90854,45100012.2,5 2624,8 0100,5X3T,3.3,3.3,12.2,4838,,
N2778,90918.9,35140113.1,2016,2212712,-3A,1.4,1,,4840,T02655,*
09096+4950,90935.9,49504014.1,3999,2010631,5A,1.7,1.2,,4844,,
N2780,90939.4,35075714.2,1951,3212712,2B r,1,0.7,,4843,T00940,
09099+5311,90954,53110014.2,7618,2312700,-3,0.9,0.6,,4851,T00820,
N2783,91039.8,30115813.9,6745,2012700,-2A,2.1,1.5,13.23,4859,S06690,"HCG37A,KDG192B"
N2782,91054,40190012.6,6 2550,1000100,1X P,4.2,3.2,12.15,4862,,Arp215
09116+3020,91136,30200014.5,6909,2812700,2B P,2,0.7,,4869,T00753,
09116+4707,91136,47070014,4218,2912700,4B,1.1,0.5,,4870,T09438,
N2789,91200,29560013.8,6313,2912724,-1B P,1.7,1.7,,4875,,
09125+5303,91230,53030014,600,10012700,10,2.5,1.5,,4879,,
N2793,91342,34380013.3,5 1681,320100,9B5s,1.3,1,,4894,T09439,
N2804,91400,20240014,8424,2312717,-2,1.5,1.3,,,,
09141+2538,91406,25380014,1671,3212700,-2,1.4,0.8,,4902,T11838,MK1230
09141+5312,91406,53120013.4,2322,1912700,1,2.2,0.5,,4906,,
N2798,91412,42130013.2,9 1726,12 2204,1B P,2.8,0.9,13,4905,T09141,"VV50,Arp283,KDG195A"
N2809,91418,20160013.9,8299,3112717,-2,1.6,1.4,,4910,T07633,
N2799,91418,42120014.4,1882,3012700,9B s,2.1,0.5,,4909,T01124,"VV50,Arp283,KDG195B"
09145+2610,91434.6,26103314.4,6538,3012700,-3,0.6,0.4,,4912,T00755,
09150+4552,91500,45520014.4,8096,251 0,3X T,1.5,1.2,,4919,,
N2800,91500,52430014,7623,2812700,-7,1.4,0.9,,4920,T02687,
N2824,91606,26290014.3,2760,2312700,-2,1,0.6,,4933,T00754,MK394
N2805,91617,64185511.9,1736,810200,7X T,7.5,5.1,11.78,4936,T09421,
N2832,91645,33573613.3,1 6867,34 2712,-3,3,2,12.45,4942,T02656,"*Arp315,HOL123C,cD"
N2814,91706,64280014,1694,3612700,12P,1.1,0.25,14.3,4952,T15724,HO124C
N2820,91743.7,64281613.1,1574,612812,5B P,4.4,0.35,13.29,4961,T05849,HO124A
N2844,91836,40220013.6,1486,910100,1A R,1.9,0.9,13.65,4971,T09440,
N2841,91836,51110010.2,7  631,1702700,3A1R,7.4,3.5,10.1,4966,T00579,Liner
09191+3403,91906,34030014.5,7002,2312700,0A,1.5,1.2,,4974,T00999,
09198+4446,91948,44460014,2691,3512700,4,1.3,0.35,,4982,T01086,
N2852,92000,40230014,1811,2512712,1X R,1.1,1.1,,4986,T00739,
N2854,92039.8,49250813.8,2732,2012700,3B,1.9,0.55,,4995,T02949,Arp285
N2856,92048,49270013.9,2638,1912700,5,1.1,0.5,,4997,T05906,Arp285
N2857,92106,49340014.3,4879,81 0,5A s,2.4,2.2,,5000,T11859,Arp1
N2859,92118,34440011.9,6 1685,14 2700,-1B R,4.5,4,11.65,5001,T09799,
N2862,92159.5,26594013.8,4099,2010617,4B4,2.4,0.6,,5010,T09441,
09232+1936,92312,19360614.4,2534,3512717,15,0.8,0.7,,5023,T07599,MK400
09233+4605,92318,46050014.2,4317,2312700,-2,1.1,0.8,,5026,T00823,
N2870,92415.4,57354313.9,3210,2010902,4,2.7,0.7,,5034,T01072,
I2476,92454,30120014.5,8030,3012700,-1A s,1.3,1.1,,5043,T00789,
09250+4453,92500,44530014.3,7706,2712700,5X,1.2,1,,5045,T01073,
09253+1725,92518,17250014.5,4215,3012717,2,1,0.25,,5046,T01614,
N2880,92542,62430012.9,7 1563,20 2700,-3B,2.4,1.5,12.5,5051,T02936,
09266+5604,92637.6,56041314.5,7541,2010631,3B s,1.5,1.3,,5055,,MK114
N2893,92719.5,29453313.6,1678,3112724,1B R,1.2,1.2,,5060,T07977,MK401
I2487,92720.2,20183414.2,4294,3912717,3A,1.9,0.45,,5059,,
09283+3015,92815.7,30143614.5,4138,3312700,4A3s,1.1,0.45,,5070,T00790,
N2903,92919.9,214319 9.6,7  539,26 2717,4X2T,13,6,9.5,5079,T05907,
N2911,93106,10220013.8,2 3217,22 2700,-2A P,4,3,12.6,5092,M02817,"Liner,Arp232"
N2913,93124,9420014.1,3071,2212700,8,1.2,0.8,,5095,T02811,
N2914,93124,10200014.1,9 3171,2502700,2B s,1.1,0.6,14,5096,,Arp137
N2919,93206,10300013.6,2469,4212700,3X R,1.7,0.55,,5102,T07979,
N2916,93207.6,21554512.3,3748,1712700,3A T,2.5,1.7,12.65,5103,,
N2918,93248,31560013.6,6789,2412700,-1A,1.4,1,,5112,,
09340+3818,93400,38180014.5,5995,3212700,-2  P,0.7,0.7,,5119,T01442,
09344+2003,93424,20030014.3,8461,3012717,-1,0.7,0.5,,5123,T01615,
N2927,93424.3,23490314.1,7556,2912700,3X,1.8,1.1,,5122,T01338,
N2926,93430,33040014.4,4417,3112700,3B4r,0.9,0.8,,5125,T00941,
N2929,93438.8,23231114.4,7549,3812700,5,1.3,0.35,,5126,T01339,
09350+2543,93505.5,25431514.3,4035,3412700,1A,1.8,0.8,,5129,T01354,
N2939,93524,9450013.5,3344,2812712,4,2.6,0.9,,5134,T04278,
N2943,93548,17160014,8417,2412700,-7,2.2,1.2,,5136,T04382,
N2942,93606,34140013.7,6 4421,4502700,5A2s,2.1,1.6,,5140,T01172,
N2948,93618,7110013.8,4959,2812700,4B,1.2,0.35,,5141,T00908,
09364+3236W,93628.1,32353514.3,6497,591 0,5B r,0.9,0.8,,05146A,,"IIIZw60,VV83,Arp129A,WES"
09372+4834,93709.8,48335313.5,760,4012700,15,0.8,0.7,,5151,T08530,"AK209,MK1418"
N2954,93740.5,15085813.5,3836,2412700,-7,1.7,1.1,,5155,T00850,
09377+4750,93742.2,47505014.5,4841,2010902,5,1.9,0.4,,5157,,
N2958,93800,12070013.9,6639,3212700,4B,1.1,0.8,,5160,T00910,
N2955,93815.4,36064013.9,7013,2010617,2X3T,1.5,0.7,13.45,5166,T09451,
I 551,93818,7100014.5,8581,3212700,6,0.9,0.8,,5168,T01325,
I 552,93836,10520014.5,5809,2212700,-2,1,0.6,,5171,T00882,
N2950,93900,59050011.8,1327,2012700,-2B R,3.3,2.3,11.85,5176,T02938,
I 555,93912,12310014.4,6732,2512700,-2,1.3,0.6,,5178,T00902,
N2964,93956.4,32043512,1353,3112724,3B3R,3.5,1.9,,05183A,T07879,KDG210A
09400+4120,93959.1,41191814.1,1465,2010631,3A,1.1,0.8,,5187,,
09400+2913,94000,29123614.5,8540,3212700,4A2s,1.9,0.6,,5185,T00792,
N2909,94010.9,66122314.1,3322,2010631,-6  P,0.4,0.3,,5188,T02466,MK119
09402+0943,94012,9430013.7,3208,3512700,10P,3.3,1.1,,5189,T04177,
N2968,94014.5,32092613.1,1544,2412700,12P,2.4,1.7,12.8,5190,,KDG210B
N2959,94059.8,68493713.7,4429,2010631,2X P,1.4,1.4,,5202,T09469,KDG211A
N2984,94100,11180014.3,6200,2412700,-2,0.7,0.7,,5200,T00903,I556
09422+1656,94212,16560014.3,5980,2812700,1B,1.2,1.1,,5213,T02819,
09426+0920,94236,9200013.8,5489,2712700,4,1.7,0.9,,5215,T00923,
N2987,94300,5100013.9,3738,3112700,2,1.5,0.6,,5220,T00036,
N2976,94312,68090011,9   13,14 0100,5A P,5.5,3,10.85,5221,T09119,
09434+0438,94324,4380014,5020,2412700,-2,1,0.9,,5226,T04383,
N2990,94336,5560012.5,3070,3412700,5,1.1,0.55,13.2,5229,T09486,AK214
09440+1400,94400,14000014.5,7222,2412700,-2,1,0.5,,5232,T00904,
N2994,94424,22200014.4,7386,2612700,-2,1.2,0.9,,5239,T01357,
09445+5415,94433.5,54155014,7439,3012700,5  R,0.8,0.8,,5241,T01074,MK1425
N2998,94536,44190012.6,2 4777,10 0909,5X3T,2.6,1.3,,5250,,HO144A
N3003,94537.9,33391612.5,2 1478,1 0912,6B5s,5.7,1.7,12.15,5251,T07898,
N3011,94644.6,32265314.2,1517,2512700,0  R,0.9,0.8,,5259,T11839,MK409
N3009,94701.3,44314114.5,4666,2010631,5,0.8,0.7,,5264,T01125,
N3016,94706,12550013.7,8970,3812700,3,1.2,1,,5266,T07897,
N3020,94724,13030013.2,1440,510620,6B R,3.2,1.8,,5271,T12030,HO147A
N3024,94748,13000013.7,1417,510620,5,2,0.5,,5275,T09471,HO147B
N3021,94759.5,33472012.6,0 1545,510912,4 4P,1.5,0.9,,5280,T07895,
N3026,94800.8,28470113.8,1486,510912,8B6s,2.6,0.7,,5279,,
09485+0914,94830,9140014.4,5200,3712700,5A,2.1,1.5,,5286,T03074,
09487+0804,94842,8040014.4,561,810200,10B,1.5,1,,5288,,
N3032,94914.1,29282013,1561,2010613,-1A R,2,1.7,12.6,5292,T07881,
09497+4305,94947.2,43050314.5,4790,2010631,3X,2.3,1,,5295,,
N3039,94954,2220014.4,5036,2312700,2A,1.1,0.6,,5297,T02786,
N3040SE,95012,19400014.5,7595,3312700,-3,1.6,0.6,,05300S,T01616,SE
N3041,95024,16550012.5,5 1413,5 0620,5X4T,3.7,2.4,12.25,5303,T09522,
N3044,95106,1490012.5,4 1292,6 0611,5B s,4.7,0.8,12.55,5311,T09487,
09511+2337,95107.4,23371014.5,3957,3012700,-5,0.8,0.6,,5313,T01358,
N3031,95130,691800 7.7,May-38,562700,2A2s,26,14,7.75,05318 3,0.5,"Liner,M81,Dsrc=J,KDG218A"
N3034,95142,695500 9.5,7  267,41 2700,0,13,6,9.3,05322 7,.20T04480,"M82,Arp337,3CR231,KDG218"
N3049,95210.3,9305513.5,1444,3412700,3B,2.5,1.6,,5325,T09540,MK710
09524+3330,95228,33300114.5,1415,4312700,8B7,1.1,0.9,,5326,T01271,
N3043,95241.3,59324213.3,2996,2010631,3,1.9,0.5,13.66,5327,T11858,
N3055,95242,4300013,0 1832,23 2200,5X3s,2.2,1.2,12.7,5328,T09531,MK9017
N3053,95248,16400013.7,3731,510620,1X,1.8,0.8,,5329,T07883,
I 577,95324,10440014.4,9002,2112712,6,0.55,0.5,,5334,T05861,Turner10A
I2520,95328.6,27280014.3,1236,3212706,15  P,0.7,0.6,,5335,T00791,
N3060,95336,17041113.8,3690,510620,3,2.4,0.45,,5338,T00052,
09540+1553,95400,15530014.3,4593,3112700,4,1.1,0.5,,5342,T02820,MK712
09544+4529,95427.5,45280514.4,3751,2712748,3,1.5,0.25,14.59,5345,T01175,HCG41A
09551+3731,95506,37310014.5,1381,1510200,7B6s,2.6,0.9,,5349,,
N3070,95524,10360013.2,5391,1512700,-7,1.6,1.6,,5350,T02951,*
N3067,95524,32370012.9,1 1484,14 0611,3P,2.2,0.8,12.7,5351,T07882,
09557+4758,95541.9,47583214.4,1172,2010902,9,2.3,1.3,,5354,,
N3075,95612,14390014.5,3566,3112700,5A,1.2,0.8,,5360,T02821,
N3080,95714.5,13170114.5,10493,3112700,1A,1,0.9,,5372,T02812,"Sy1.5,MK1243"
09574+0534,95722.9,5342212.2,301,110912,10B8s,6,4,11.9,5373,,"SextansB,DDO70"
N3073,95730,55520013.8,1154,3112700,-3X,1.2,1.1,,5374,T11860,"MK131,HO156B"
09578+0337,95751.4,3365414.5,2080,2912700,7,2.1,0.7,,5376,,
09579+0439,95755.1,4385114.2,4185,3312700,3A,1.8,0.8,,5378,T03071,
N3079,95836,55550011.4,3 1114,25 2700,5B3s,8.7,1.6,11.2,5387,T02270,"Liner,HO156A"
N3094,95842,16010013.5,2409,510620,1B,1.6,1.2,,5390,T08544,
N3077,95922,68583011.1,2    7,3 0100,12P,6,4.5,10.65,05398 7,0.2,
N3098,95928.2,24570613.1,5 1401,24 2700,-2,2.3,0.6,12.85,5397,T00200,
09596+1356,95936,13560014.3,6989,2612700,-2,1,0.8,,5400,T02952,
10003+5940,100024,59410014.2,3005,3412700,12P,0.55,0.45,14.6,5408,T01690,"MK25,VIIZw308"
N3104,100055.7,41000114.2,604,110912,10X s,3.6,2.3,,5414,T12338,"VV119,Arp264"
N3102,100100,60210014.3,3066,2612700,-2,0.9,0.9,,5418,T01691,
N3106,100106,31250014,6204,2312700,-1A R,1.8,1.8,,5419,T00866,
10012+2231,100112,22310014.5,6139,2912700,-2,1.1,0.8,,5420,T01340,
N3107,100140.1,13515113.6,2782,2010617,7,0.8,0.7,,5425,T11875,AK229
10025+5903,100230,59030013.6,2895,2712700,-5,0.8,0.4,,5435,T11873,
10026+1931,100236,19310014.3,3759,1212700,4,1.5,0.6,,5436,,
N3111,100300,47300014,7394,2812700,-3,0.9,0.8,,5441,T11874,4414(09)
N3121,100406,14370014.2,8896,2312700,-7,1.1,0.8,,5450,T02838,KDG224A&B
10042+4716,100412,47160014.1,571,3712700,10,1.6,0.8,,5451,T01246,
N3118,100418,33160014.4,1314,3612700,4A /,2.5,0.35,,5452,T01012,
10047+1036,100440.6,10362313.5,552,3512700,16,1.7,0.8,,5456,T11889,
I 591,100446.8,12311514,2854,510620,20,1.3,0.8,,5458,T07600,AK231
10048+5320,100448,53200013.8,1121,1510200,5A,4.3,0.5,,5459,,
10049+5206,100454.8,52052413.9,1095,510912,7B T,2.6,2.4,,5460,,
N3126,100527.3,32063213.5,5199,2412700,3,2.9,0.5,,5466,T00865,
10055+1857,100530,18570014.3,2894,2612700,-1,0.8,0.8,,5467,T02940,
N3130,100536,10130014.3,8206,2512700,0,1.1,0.6,,5468,T03229,
10058+1233,100548,12330011.3,290,13517,-4,12,9,11.11,05470 0,0.46,"LEOI,DDO74,REGULUS"
N3131,100554,18290014,5251,3512700,3B,2.3,0.7,,5471,T00103,
10065+1515,100630,15150014.5,9212,2312700,-7,0.8,0.8,,5477,T02941,
N3135,100748,46120014.3,7270,4212700,5,1,0.6,,5486,T01202,
10080+2018,100754.7,20190214,3830,510620,1A,2.2,1.1,,5489,,
10088+0041,100843.8,412214,3636,1012717,4X,1.7,1.4,,5493,,
10094+2807,100928,28063314.3,4757,3012700,1B R,3,0.8,,5499,T01177,
10096+0510,100936,5100014.5,8468,3412700,4,0.6,0.6,,5501,T03042,MK718
I 598,100954,43240013.8,2268,2712700,0,1.6,0.45,,5502,T04384,
N3156,101006,3224213.1,9 1296,25 2700,-2,1.8,1.1,,5503,T02734,
N3153,101012,12550013.6,2811,510620,6,2.3,1,,5505,T11890,
N3154,101018,17170014.3,6592,2612700,4B,1,0.45,,5507,T02942,
N3162,101048,22590012.3,0 1303,920100,4X3T,3.9,2.8,12.15,5510,T11893,
N3158,101052,39004213.5,5 6982,19 2700,-5,2.3,2.2,12.85,5511,T16105,*
N3165,101054,3380014.5,1317,3912700,10,1.6,0.8,,5512,T03043,
N3166,101112,3400011.4,4 1339,22 0100,0X T,5,2.8,11.5,5516,T09553,KDG228A
N3163,101112,38530014.4,6195,2712700,-3A,1.1,1.1,14.1,5517,T01200,
10114+0716,101121.8,7161814.4,1228,1510200,5A,3,1.8,,5522,,
10113+6524,101124,65230014.4,3315,1010613,5,2.2,1.4,,5520,,
N3169,101142,3430011.9,1205,1 0 5,1A P,5.5,3,11.25,5525,T09554,KDG228B
N3164,101148,56550014.5,7783,3212700,0,0.9,0.7,,5527,T01692,
N3177,101348,21220013.3,1 1299,1420611,3A4T,1.6,1.3,13,5544,T11876,MK9018
10138+4953,101348,49530014.4,12601,4112700,2,1,0.8,,5545,T01465,
N3185,101453.3,21561913.2,3 1218,14 0611,1B5R,2,1.2,12.95,5554,T11878,"Liner,HCG44C"
N3179,101500,41220014.2,7258,2312700,-2,2,0.5,,5555,T01201,
N3187,101503,22072513.5,1579,910620,5B P,3.5,1.5,13.6,5556,,"VV307,HCG44D"
N3184,101517.7,41402810.4,592,110912,6X3T,8.5,7.8,10.4,5557,,
N3189,101520.6,22045512.2,1293,2412748,1A4P,4.5,1.7,11.99,5559,,"HCG44A,VV307,N3190,HOLM1"
N3193,101539.6,22083712.3,7 1378,19 2748,-5,2.5,2.5,11.85,5562,T02689,*HCG44B
I 602,101542,7180013.4,3780,2412700,5,0.9,0.55,,5561,T10896,AK237
N3191,101600,46430013.9,9210,3612700,4B P,0.7,0.45,,5565,T11877,
N3182,101612,58280013,2130,2612700,1A R,2.3,1.8,,5568,T04385,
N3198,101654,45480011,9  660,7 0200,5B3T1,0,3.8,10.94,5572,,
10171+3853,101706,38530014.3,2008,3712700,9,1,0.8,,5577,T01204,
10170+6526,101706,65250014.1,3296,1510613,5,1.5,0.9,,5576,T11909,
N3202,101730,43160014.2,6694,2712700,1B R,1.3,0.9,,5581,T00990,
N3209,101748,25450013.9,6197,2612700,-7,1.3,1.1,,5584,T04395,
N3205,101748,43130014.4,7035,2912700,12P,1.5,1.1,,5585,T00988,
N3207,101800,43140014.3,6992,2812700,1P,1.4,1,,5587,T00989,
10181+2537,101806,25370014,1341,3112700,15,0.55,0.35,,5588,T07601,AK238
N3206,101830,57110012.7,1161,1510200,6B s,3,2,,5589,,
N3213,101833.8,19541514.3,1412,3012700,4A,1.1,0.8,,5590,T02943,
N3221,101936,21491614.3,4085,2612700,5B,3.3,0.8,,5601,T01359,
N3222,101948,20080013.9,5587,2312700,-2B,0.9,0.8,13.7,5610,T02944,
10198+0415,101948.6,4150114.2,6824,3012700,3A,1.9,0.6,,5607,T01328,
I 605,101949.8,1270814.5,6492,2010617,6,0.7,0.6,,5606,T03044,
N3220,102030,57170013.7,1226,3510300,0A,1,0.5,,5614,,
N3226,102043,20091212.7,7 1275,24 2712,-5  P,2.5,2.2,12.3,5617,T02690,"*VV209,KDG234A,Arp94"
N3227,102048,20070012.2,1138,1510802,1X P,6.5,4.5,11.55,5620,,"Sy2,VV209,KDG234B,Arp94"
N3225,102148,58250013.3,2137,1510200,5,2.3,1.2,,5631,T11923,
N3239,102224,17250012.2,3  754,7 0200,10B P,6,4,,5637,T12633,"VV95,Arp263"
N3237,102248,39550014.2,7079,2512700,-2,1.1,1.1,,5640,T01203,
10232+1437,102312,14370014.2,1350,3612700,4,2.5,0.7,,5646,T03336,
N3238,102330,57290014.1,7369,2412700,-3,1.3,1.3,,5649,T01693,
10237+1746,102342,17460014.4,5528,3212700,5A,1.4,1.1,,5651,T03337,
N3246,102406,4070013.8,2150,1510200,8X,2.3,1.4,,5661,T12942,
N3245,102430,28460012,4 1358,15 2700,-2A,2.9,1.9,11.7,5663,S10213,
I2574,102442,68400011.2,0   38,10 0200,9X8s,15,9,11.03,05666 7,0.2,"DDO81,VIIZw330,CODDINGTO"
N3248,102500,23060013.9,1450,2612700,-2,2.5,1.1,,5669,T11892,
N3253,102548,12570014.4,9726,4312725,4X T,1.2,1.1,,5674,T03253,
N3254,102630,29450012.4,1 1366,1001606,4A3s,5.3,1.5,12.2,5685,T12848,
N3251,102630.2,26212014.2,5131,3112700,3A,2,0.45,,5684,T01341,I2579
10268+1952,102646.5,19523814.5,8071,2712700,3A,0.8,0.7,,5690,T03338,
